Bytes,Description
 F0 9F 8E 83,jack-o-lantern
 F0 9F 8E 84,christmas_tree
 F0 9F 8E 85,father_christmas
 F0 9F 8E 86,fireworks
 F0 9F 8E 87,firework_sparkler
 F0 9F 8E 88,balloon
 F0 9F 8E 89,party_popper
 F0 9F 8E 8A,confetti_ball
 F0 9F 8E 8B,tanabata_tree
 F0 9F 8E 8C,crossed_flags
 F0 9F 8E 8D,pine_decoration
 F0 9F 8E 8E,japanese_dolls
 F0 9F 8E 8F,carp_streamer
 F0 9F 8E 90,wind_chime
 F0 9F 8E 91,moon_viewing_ceremony
 F0 9F 8E 92,school_satchel
 F0 9F 8E 93,graduation_cap
 F0 9F 8E A0,carousel_horse
 F0 9F 8E A1,ferris_wheel
 F0 9F 8E A2,roller_coaster
 F0 9F 8E A3,fishing_pole_and_fish
 F0 9F 8E A4,microphone
 F0 9F 8E A5,movie_camera
 F0 9F 8E A6,cinema
 F0 9F 8E A7,headphone
 F0 9F 8E A8,artist_palette
 F0 9F 8E A9,top_hat
 F0 9F 8E AA,circus_tent
 F0 9F 8E AB,ticket
 F0 9F 8E AC,clapper_board
 F0 9F 8E AD,performing_arts
 F0 9F 8E AE,video_game
 F0 9F 8E AF,direct_hit
 F0 9F 8E B0,slot_machine
 F0 9F 8E B1,billiards
 F0 9F 8E B2,game_die
 F0 9F 8E B3,bowling
 F0 9F 8E B4,flower_playing_cards
 F0 9F 8E B5,musical_note
 F0 9F 8E B6,multiple_musical_notes
 F0 9F 8E B7,saxophone
 F0 9F 8E B8,guitar
 F0 9F 8E B9,musical_keyboard
 F0 9F 8E BA,trumpet
 F0 9F 8E BB,violin
 F0 9F 8E BC,musical_score
 F0 9F 8E BD,running_shirt_with_sash
 F0 9F 8E BE,tennis_racquet_and_ball
 F0 9F 8E BF,ski_and_ski_boot
 F0 9F 8F 80,basketball_and_hoop
 F0 9F 8F 81,chequered_flag
 F0 9F 8F 82,snowboarder
 F0 9F 8F 83,runner
 F0 9F 8F 84,surfer
 F0 9F 8F 86,trophy
 F0 9F 8F 88,american_football
 F0 9F 8F 8A,swimmer
 F0 9F 8F A0,house_building
 F0 9F 8F A1,house_with_garden
 F0 9F 8F A2,office_building
 F0 9F 8F A3,japanese_post_office
 F0 9F 8F A5,hospital
 F0 9F 8F A6,bank
 F0 9F 8F A7,automated_teller_machine
 F0 9F 8F A8,hotel
 F0 9F 8F A9,love_hotel
 F0 9F 8F AA,convenience_store
 F0 9F 8F AB,school
 F0 9F 8F AC,department_store
 F0 9F 8F AD,factory
 F0 9F 8F AE,izakaya_lantern
 F0 9F 8F AF,japanese_castle
 F0 9F 8F B0,european_castle
 F0 9F 90 8C,snail
 F0 9F 90 8D,snake
 F0 9F 90 8E,horse
 F0 9F 90 91,sheep
 F0 9F 90 92,monkey
 F0 9F 90 94,chicken
 F0 9F 90 97,boar
 F0 9F 90 98,elephant
 F0 9F 90 99,octopus
 F0 9F 90 9A,spiral_shell
 F0 9F 90 9B,bug
 F0 9F 90 9C,ant
 F0 9F 90 9D,honeybee
 F0 9F 90 9E,lady_beetle
 F0 9F 90 9F,fish
 F0 9F 90 A0,tropical_fish
 F0 9F 90 A1,blowfish
 F0 9F 90 A2,turtle
 F0 9F 90 A3,hatching_chick
 F0 9F 90 A4,baby_chick
 F0 9F 90 A5,front-facing_baby_chick
 F0 9F 90 A6,bird
 F0 9F 90 A7,penguin
 F0 9F 90 A8,koala
 F0 9F 90 A9,poodle
 F0 9F 90 AB,bactrian_camel
 F0 9F 90 AC,dolphin
 F0 9F 90 AD,mouse_face
 F0 9F 90 AE,cow_face
 F0 9F 90 AF,tiger_face
 F0 9F 90 B0,rabbit_face
 F0 9F 90 B1,cat_face
 F0 9F 90 B2,dragon_face
 F0 9F 90 B3,spouting_whale
 F0 9F 90 B4,horse_face
 F0 9F 90 B5,monkey_face
 F0 9F 90 B6,dog_face
 F0 9F 90 B7,pig_face
 F0 9F 90 B8,frog_face
 F0 9F 90 B9,hamster_face
 F0 9F 90 BA,wolf_face
 F0 9F 90 BB,bear_face
 F0 9F 90 BC,panda_face
 F0 9F 90 BD,pig_nose
 F0 9F 90 BE,paw_prints
 F0 9F 91 80,eyes
 F0 9F 91 82,ear
 F0 9F 91 83,nose
 F0 9F 91 84,mouth
 F0 9F 91 85,tongue
 F0 9F 91 86,white_up_pointing_backhand_index
 F0 9F 91 87,white_down_pointing_backhand_index
 F0 9F 91 88,white_left_pointing_backhand_index
 F0 9F 91 89,white_right_pointing_backhand_index
 F0 9F 91 8A,fisted_hand_sign
 F0 9F 91 8B,waving_hand_sign
 F0 9F 91 8C,ok_hand_sign
 F0 9F 91 8D,thumbs_up_sign
 F0 9F 91 8E,thumbs_down_sign
 F0 9F 91 8F,clapping_hands_sign
 F0 9F 91 90,open_hands_sign
 F0 9F 91 91,crown
 F0 9F 91 92,womans_hat
 F0 9F 91 93,eyeglasses
 F0 9F 91 94,necktie
 F0 9F 91 95,t-shirt
 F0 9F 91 96,jeans
 F0 9F 91 97,dress
 F0 9F 91 98,kimono
 F0 9F 91 99,bikini
 F0 9F 91 9A,womans_clothes
 F0 9F 91 9B,purse
 F0 9F 91 9C,handbag
 F0 9F 91 9D,pouch
 F0 9F 91 9E,mans_shoe
 F0 9F 91 9F,athletic_shoe
 F0 9F 91 A0,high-heeled_shoe
 F0 9F 91 A1,womans_sandal
 F0 9F 91 A2,womans_boots
 F0 9F 91 A3,footprints
 F0 9F 91 A4,bust_in_silhouette
 F0 9F 91 A6,boy
 F0 9F 91 A7,girl
 F0 9F 91 A8,man
 F0 9F 91 A9,woman
 F0 9F 91 AA,family
 F0 9F 91 AB,man_and_woman_holding_hands
 F0 9F 91 AE,police_officer
 F0 9F 91 AF,woman_with_bunny_ears
 F0 9F 91 B0,bride_with_veil
 F0 9F 91 B1,person_with_blond_hair
 F0 9F 91 B2,man_with_gua_pi_mao
 F0 9F 91 B3,man_with_turban
 F0 9F 91 B4,older_man
 F0 9F 91 B5,older_woman
 F0 9F 91 B6,baby
 F0 9F 91 B7,construction_worker
 F0 9F 91 B8,princess
 F0 9F 91 B9,japanese_ogre
 F0 9F 91 BA,japanese_goblin
 F0 9F 91 BB,ghost
 F0 9F 91 BC,baby_angel
 F0 9F 91 BD,extraterrestrial_alien
 F0 9F 91 BE,alien_monster
 F0 9F 91 BF,imp
 F0 9F 92 80,skull
 F0 9F 92 81,information_desk_person
 F0 9F 92 82,guardsman
 F0 9F 92 83,dancer
 F0 9F 92 84,lipstick
 F0 9F 92 85,nail_polish
 F0 9F 92 86,face_massage
 F0 9F 92 87,haircut
 F0 9F 92 88,barber_pole
 F0 9F 92 89,syringe
 F0 9F 92 8A,pill
 F0 9F 92 8B,kiss_mark
 F0 9F 92 8C,love_letter
 F0 9F 92 8D,ring
 F0 9F 92 8E,gem_stone
 F0 9F 92 8F,kiss
 F0 9F 92 90,bouquet
 F0 9F 92 91,couple_with_heart
 F0 9F 92 92,wedding
 F0 9F 92 93,beating_heart
 F0 9F 92 94,broken_heart
 F0 9F 92 95,two_hearts
 F0 9F 92 96,sparkling_heart
 F0 9F 92 97,growing_heart
 F0 9F 92 98,heart_with_arrow
 F0 9F 92 99,blue_heart
 F0 9F 92 9A,green_heart
 F0 9F 92 9B,yellow_heart
 F0 9F 92 9C,purple_heart
 F0 9F 92 9D,heart_with_ribbon
 F0 9F 92 9E,revolving_hearts
 F0 9F 92 9F,heart_decoration
 F0 9F 92 A0,diamond_shape_with_a_dot_inside
 F0 9F 92 A1,electric_light_bulb
 F0 9F 92 A2,anger_symbol
 F0 9F 92 A3,bomb
 F0 9F 92 A4,sleeping_symbol
 F0 9F 92 A5,collision_symbol
 F0 9F 92 A6,splashing_sweat_symbol
 F0 9F 92 A7,droplet
 F0 9F 92 A8,dash_symbol
 F0 9F 92 A9,pile_of_poo
 F0 9F 92 AA,flexed_biceps
 F0 9F 92 AB,dizzy_symbol
 F0 9F 92 AC,speech_balloon
 F0 9F 92 AE,white_flower
 F0 9F 92 AF,hundred_points_symbol
 F0 9F 92 B0,money_bag
 F0 9F 92 B1,currency_exchange
 F0 9F 92 B2,heavy_dollar_sign
 F0 9F 92 B3,credit_card
 F0 9F 92 B4,banknote_with_yen_sign
 F0 9F 92 B5,banknote_with_dollar_sign
 F0 9F 92 B8,money_with_wings
 F0 9F 92 B9,chart_with_upwards_trend_and_yen_sign
 F0 9F 92 BA,seat
 F0 9F 92 BB,personal_computer
 F0 9F 92 BC,briefcase
 F0 9F 92 BD,minidisc
 F0 9F 92 BE,floppy_disk
 F0 9F 92 BF,optical_disc
 F0 9F 93 80,dvd
 F0 9F 93 81,file_folder
 F0 9F 93 82,open_file_folder
 F0 9F 93 83,page_with_curl
 F0 9F 93 84,page_facing_up
 F0 9F 93 85,calendar
 F0 9F 93 86,tear-off_calendar
 F0 9F 93 87,card_index
 F0 9F 93 88,chart_with_upwards_trend
 F0 9F 93 89,chart_with_downwards_trend
 F0 9F 93 8A,bar_chart
 F0 9F 93 8B,clipboard
 F0 9F 93 8C,pushpin
 F0 9F 93 8D,round_pushpin
 F0 9F 93 8E,paperclip
 F0 9F 93 8F,straight_ruler
 F0 9F 93 90,triangular_ruler
 F0 9F 93 91,bookmark_tabs
 F0 9F 93 92,ledger
 F0 9F 93 93,notebook
 F0 9F 93 94,notebook_with_decorative_cover
 F0 9F 93 95,closed_book
 F0 9F 93 96,open_book
 F0 9F 93 97,green_book
 F0 9F 93 98,blue_book
 F0 9F 93 99,orange_book
 F0 9F 93 9A,books
 F0 9F 93 9B,name_badge
 F0 9F 93 9C,scroll
 F0 9F 93 9D,memo
 F0 9F 93 9E,telephone_receiver
 F0 9F 93 9F,pager
 F0 9F 93 A0,fax_machine
 F0 9F 93 A1,satellite_antenna
 F0 9F 93 A2,public_address_loudspeaker
 F0 9F 93 A3,cheering_megaphone
 F0 9F 93 A4,outbox_tray
 F0 9F 93 A5,inbox_tray
 F0 9F 93 A6,package
 F0 9F 93 A7,e-mail_symbol
 F0 9F 93 A8,incoming_envelope
 F0 9F 93 A9,envelope_with_downwards_arrow_above
 F0 9F 93 AA,closed_mailbox_with_lowered_flag
 F0 9F 93 AB,closed_mailbox_with_raised_flag
 F0 9F 93 AE,postbox
 F0 9F 93 B0,newspaper
 F0 9F 93 B1,mobile_phone
 F0 9F 93 B2,mobile_phone_with_rightwards_arrow_at_left
 F0 9F 93 B3,vibration_mode
 F0 9F 93 B4,mobile_phone_off
 F0 9F 93 B6,antenna_with_bars
 F0 9F 93 B7,camera
 F0 9F 93 B9,video_camera
 F0 9F 93 BA,television
 F0 9F 93 BB,radio
 F0 9F 93 BC,videocassette
 F0 9F 94 83,clockwise_downwards_and_upwards_open_circle_arrows
 F0 9F 94 8A,speaker_with_three_sound_waves
 F0 9F 94 8B,battery
 F0 9F 94 8C,electric_plug
 F0 9F 94 8D,left-pointing_magnifying_glass
 F0 9F 94 8E,right-pointing_magnifying_glass
 F0 9F 94 8F,lock_with_ink_pen
 F0 9F 94 90,closed_lock_with_key
 F0 9F 94 91,key
 F0 9F 94 92,lock
 F0 9F 94 93,open_lock
 F0 9F 94 94,bell
 F0 9F 94 96,bookmark
 F0 9F 94 97,link_symbol
 F0 9F 94 98,radio_button
 F0 9F 94 99,back_with_leftwards_arrow_above
 F0 9F 94 9A,end_with_leftwards_arrow_above
 F0 9F 94 9B,on_with_exclamation_mark_with_left_right_arrow_above
 F0 9F 94 9C,soon_with_rightwards_arrow_above
 F0 9F 94 9D,top_with_upwards_arrow_above
 F0 9F 94 9E,no_one_under_eighteen_symbol
 F0 9F 94 9F,keycap_ten
 F0 9F 94 A0,input_symbol_for_latin_capital_letters
 F0 9F 94 A1,input_symbol_for_latin_small_letters
 F0 9F 94 A2,input_symbol_for_numbers
 F0 9F 94 A3,input_symbol_for_symbols
 F0 9F 94 A4,input_symbol_for_latin_letters
 F0 9F 94 A5,fire
 F0 9F 94 A6,electric_torch
 F0 9F 94 A7,wrench
 F0 9F 94 A8,hammer
 F0 9F 94 A9,nut_and_bolt
 F0 9F 94 AA,hocho
 F0 9F 94 AB,pistol
 F0 9F 94 AE,crystal_ball
 F0 9F 94 AF,six_pointed_star_with_middle_dot
 F0 9F 94 B0,japanese_symbol_for_beginner
 F0 9F 94 B1,trident_emblem
 F0 9F 94 B2,black_square_button
 F0 9F 94 B3,white_square_button
 F0 9F 94 B4,large_red_circle
 F0 9F 94 B5,large_blue_circle
 F0 9F 94 B6,large_orange_diamond
 F0 9F 94 B7,large_blue_diamond
 F0 9F 94 B8,small_orange_diamond
 F0 9F 94 B9,small_blue_diamond
 F0 9F 94 BA,up-pointing_red_triangle
 F0 9F 94 BB,down-pointing_red_triangle
 F0 9F 94 BC,up-pointing_small_red_triangle
 F0 9F 94 BD,down-pointing_small_red_triangle
 F0 9F 95 90,clock_face_one_oclock
 F0 9F 95 91,clock_face_two_oclock
